Symbol,MarketCap,Price,Circulating Supply,Volume24h,percent_1H,percent_24H,percent_7D,Date
ADA,4158897686.92,0.1604,25927070538,99731560.0,0.24,-2.78,-25.62,20180613
USDT,2515981648.7,1.0035,2507140346,3056748800.0,0.12,-0.1,0.25,20180613
BNB,1663755421.98,14.59,114041290,97415856.0,-0.78,-4.43,-13.26,20180613
DOGE,323516264.21,0.002817,114852075067,11074878.0,-0.82,-8.9,-24.8,20180613
BTC,114106019763.75,6675.35,17093637,5138713088.0,0.32,4.99,-12.99,20180614
ETH,52015054886.48,519.74,100078629,2458646016.0,0.66,8.78,-14.15,20180614
XRP,22028629655.85,0.5613,39245304677,379824928.0,0.71,5.41,-17.01,20180614
LTC,5764038681.65,101.15,56982621,367741824.0,0.29,7.65,-16.27,20180614
ADA,4469187116.64,0.1724,25927070538,199562176.0,0.63,8.01,-17.68,20180614
USDT,2517055205.61,1.004,2507140346,3104207616.0,0.01,0.05,0.33,20180614
BNB,1698676390.76,14.9,114041290,80329528.0,0.43,1.73,-10.44,20180614
DOGE,338168572.54,0.002944,114865886044,9869882.0,-0.51,3.94,-21.41,20180614
BTC,110378787093.35,6456.58,17095537,3955386112.0,-0.17,-3.04,-15.67,20180615
ETH,49149111362.65,491.0,100099152,1808267776.0,0.03,-5.18,-18.63,20180615
XRP,21102480928.06,0.5377,39245304677,241685104.0,0.38,-3.55,-20.47,20180615
LTC,5510143921.72,96.68,56995971,293284800.0,0.46,-3.93,-19.61,20180615
ADA,4219559404.88,0.1627,25927070538,73950496.0,-0.14,-4.94,-21.41,20180615
USDT,2625264376.36,1.007,2607140346,2376114432.0,0.15,0.34,0.5,20180615
BNB,1716104030.16,15.05,114041290,79159344.0,-1.03,1.42,-8.09,20180615
DOGE,333265075.54,0.002901,114879692630,12125569.0,0.93,-1.86,-20.94,20180615
BTC,111992026635.94,6550.16,17097600,3194168064.0,-0.38,1.38,-12.49,20180616
ETH,50024052139.54,499.64,100119723,1314113536.0,-0.57,1.78,-15.45,20180616
XRP,20987764100.99,0.5348,39245304677,202682464.0,-0.57,-0.44,-18.39,20180616
LTC,5562874147.43,97.58,57010121,259324688.0,-0.44,1.3,-16.69,20180616
ADA,4225130477.53,0.163,25927070538,42213444.0,-0.51,-0.08,-18.07,20180616
USDT,2618204349.23,1.0042,2607140346,1797944704.0,0.05,0.01,0.04,20180616
BNB,1802906490.43,15.81,114041290,81354728.0,-0.73,4.62,-0.1,20180616
DOGE,332593062.81,0.002895,114893447944,6642408.0,-0.74,0.79,-18.93,20180616
BTC,111134738445.42,6499.27,17099575,3104015872.0,-0.51,-0.91,-4.26,20180617
ETH,50114969988.53,500.45,100140117,1264874752.0,-0.34,-0.14,-5.31,20180617
XRP,20730009722.84,0.5282,39245304677,166028384.0,-0.42,-1.42,-9.88,20180617
LTC,5480224167.45,96.1,57024746,242331200.0,-0.52,-1.82,-9.85,20180617
ADA,4184110460.94,0.1614,25927070538,35748816.0,-0.78,-1.22,-9.35,20180617
USDT,2621438174.83,1.0055,2607140346,1548393344.0,0.07,0.16,0.28,20180617
BNB,1890669938.6,16.58,114041290,107346400.0,-0.66,4.55,17.25,20180617
DOGE,330081561.6,0.002873,114907347784,6253638.0,-0.89,-1.41,-9.48,20180617
BTC,115176127902.73,6734.82,17101600,4039200768.0,0.02,3.57,-1.5,20180618
ETH,51972481610.31,518.89,100160764,1513871872.0,0.09,3.89,-1.55,20180618
XRP,21094158045.77,0.5375,39245304677,276526848.0,-0.24,1.72,-8.97,20180618
LTC,5636515882.63,98.82,57038796,282937728.0,0.07,3.0,-7.14,20180618
ADA,4255061277.86,0.1641,25927070538,55507784.0,-0.62,1.64,-7.06,20180618
USDT,2614507438.56,1.0028,2607140346,2073907968.0,-0.02,-0.22,-0.02,20180618
BNB,1924978815.95,16.88,114041290,106775888.0,-1.25,1.7,11.58,20180618
DOGE,347923788.17,0.003027,114921200672,8143520.5,0.58,4.5,-5.61,20180618
BTC,115789876518.94,6769.94,17103537,4057031936.0,0.26,0.46,2.58,20180619
ETH,53893231377.51,537.96,100181226,1726566784.0,0.33,3.62,7.86,20180619
XRP,21570033695.04,0.5496,39245304677,255400432.0,0.36,1.87,-2.24,20180619
LTC,5638968391.89,98.84,57052796,284981792.0,0.12,-0.07,-1.84,20180619
ADA,4334621758.72,0.1672,25927070538,69854440.0,0.96,1.42,0.72,20180619
USDT,2607705993.16,1.0002,2607140346,2253371392.0,-0.12,-0.3,-0.41,20180619
BNB,1904441778.21,16.7,114041290,80738088.0,0.29,-1.39,8.48,20180619
DOGE,348638648.55,0.003033,114935010669,4460274.5,0.83,0.43,-2.19,20180619
BTC,115916295536.57,6776.55,17105512,3888636672.0,0.24,0.57,5.95,20180620
ETH,53735015065.82,536.27,100201826,1596294784.0,0.21,0.33,11.93,20180620
XRP,21164427687.19,0.5393,39245304677,256919616.0,0.22,-1.21,0.84,20180620
LTC,5592176148.32,97.99,57066803,261391616.0,0.07,-0.56,3.8,20180620
ADA,4199808368.3,0.162,25927070538,83625560.0,0.22,-1.66,-0.32,20180620
USDT,2604086625.93,0.9988,2607140346,2215260416.0,-0.26,-0.36,-0.43,20180620
BNB,1831717747.04,16.06,114041290,65190316.0,-0.31,-3.44,10.19,20180620
DOGE,347205989.01,0.003021,114948746740,3245681.5,0.24,0.18,6.01,20180620
BTC,115129712386.91,6729.74,17107600,3529126400.0,-0.15,-0.63,1.17,20180621
ETH,52853879076.1,527.37,100222277,1462065408.0,-0.01,-1.63,2.15,20180621
XRP,20987401524.61,0.5348,39245304677,194312096.0,-0.03,-0.97,-4.03,20180621
LTC,5532657973.52,96.93,57081553,261544368.0,0.09,-0.97,-3.59,20180621
ADA,4110884853.75,0.1586,25927070538,41237712.0,0.0,-2.05,-7.09,20180621
USDT,2608513439.47,1.0005,2607140346,2017643136.0,-0.05,-0.06,-0.32,20180621
BNB,1944783693.17,17.05,114041290,122980360.0,0.18,5.89,14.8,20180621
DOGE,343482227.73,0.002988,114962637100,3952004.5,-0.25,-1.0,1.21,20180621
BTC,104088847381.49,6083.69,17109487,5079813632.0,-0.3,-9.68,-6.49,20180622
ETH,46694839877.8,465.82,100242927,2226027776.0,-0.18,-11.58,-6.05,20180622
XRP,19110398582.41,0.4869,39245304677,339428864.0,-0.34,-8.89,-9.7,20180622
LTC,4857441301.79,85.08,57095403,458637408.0,-0.24,-12.17,-12.38,20180622
ADA,3625624335.62,0.1398,25927070538,79061984.0,-0.63,-11.83,-14.8,20180622
USDT,2614973009.99,1.003,2607140346,3747810304.0,0.13,0.22,-0.12,20180622
BNB,1778345288.7,15.59,114041290,113750928.0,1.08,-8.56,2.06,20180622
DOGE,306702516.17,0.002668,114976552300,9291918.0,0.44,-10.77,-8.02,20180622
BTC,105449251120.12,6162.48,17111500,3431355904.0,-0.49,0.75,-6.13,20180623
ETH,47577053581.52,474.52,100263584,1651382272.0,-0.42,1.31,-5.62,20180623
XRP,19280574390.64,0.4913,39245304677,204926784.0,0.27,0.34,-8.47,20180623
LTC,4717451473.36,82.6,57109478,439202944.0,-0.5,-3.11,-15.46,20180623
ADA,3574518050.39,0.1379,25927070538,38721848.0,-1.1,-2.23,-15.63,20180623
USDT,2612315398.97,1.002,2607140346,2500864768.0,0.06,0.04,-0.17,20180623
BNB,1773482054.82,15.55,114041290,70431056.0,-0.7,-0.49,-2.47,20180623
DOGE,303670207.01,0.002641,114990446175,9938437.0,-0.71,-0.67,-9.32,20180623
BTC,105646529552.61,6173.23,17113662,4566905856.0,0.37,0.23,-5.15,20180624
ETH,45897146732.03,457.67,100283951,2490584576.0,0.75,-3.43,-8.43,20180624
XRP,18734914484.45,0.4774,39245304677,369519552.0,-0.02,-2.5,-9.54,20180624
LTC,4614286041.69,80.78,57123696,449885056.0,-0.25,-2.11,-15.95,20180624
ADA,3440601749.48,0.1327,25927070538,73037456.0,1.21,-3.93,-17.75,20180624
USDT,2620449534.83,1.0051,2607140346,3952615680.0,0.3,0.31,0.05,20180624
BNB,1647627987.45,14.45,114041290,96256272.0,0.41,-6.86,-13.8,20180624
DOGE,288641076.77,0.00251,115004231588,9879599.0,-0.55,-5.41,-13.43,20180624
BTC,106958510002.73,6249.18,17115600,5500814848.0,-0.06,1.38,-7.27,20180625
ETH,46171149563.68,460.31,100304502,4007948032.0,-0.19,0.98,-11.23,20180625
XRP,18914626642.27,0.4818,39262084448,231729296.0,0.13,0.79,-10.77,20180625
LTC,4675822594.74,81.83,57138296,458365728.0,-0.04,1.68,-17.16,20180625
ADA,3507117729.85,0.1353,25927070538,57752108.0,-0.35,2.64,-17.93,20180625
USDT,2708829442.62,1.0006,2707140346,3956017920.0,-0.09,-0.18,-0.29,20180625
BNB,1701600573.81,14.92,114041290,60358016.0,0.49,4.01,-11.39,20180625
DOGE,285860945.92,0.002485,115018008652,5693672.5,-0.35,-1.27,-17.64,20180625
BTC,104307962936.8,6093.67,17117425,3279761920.0,-1.17,-2.45,-9.1,20180626
ETH,43417871010.85,432.77,100325109,1356560128.0,-1.52,-5.81,-18.31,20180626
XRP,17903567852.61,0.456,39262084448,179425856.0,-2.03,-5.17,-15.45,20180626
LTC,4393059250.87,76.87,57151646,258433024.0,-1.48,-6.06,-21.43,20180626
ADA,3269369693.05,0.1261,25927070538,32927522.0,-2.34,-6.58,-22.26,20180626
USDT,2708655498.55,1.0006,2707140346,2025105280.0,0.09,-0.11,-0.17,20180626
BNB,1610260936.89,14.12,114041290,37503428.0,0.25,-4.93,-13.61,20180626
DOGE,285041345.88,0.002478,115031914879,4070166.75,-1.09,-0.5,-17.56,20180626
BTC,105403648760.55,6157.13,17118950,3296222208.0,0.1,0.61,-9.18,20180627
ETH,44389420721.62,442.36,100345712,1368935936.0,0.81,1.61,-17.73,20180627
XRP,18467720700.92,0.4704,39262097329,215617840.0,-0.07,2.29,-13.15,20180627
LTC,4610878636.98,80.66,57164596,274128128.0,-0.07,4.2,-17.72,20180627
ADA,3304249553.07,0.1274,25927070538,37072416.0,0.08,0.1,-21.39,20180627
USDT,2701551061.06,0.9979,2707140346,2055363456.0,0.11,-0.15,-0.33,20180627
BNB,1602286999.56,14.05,114041290,44136628.0,-0.12,-0.37,-13.0,20180627
DOGE,280401649.77,0.002437,115045890744,5765384.0,0.27,-1.89,-19.18,20180627
BTC,101072352478.82,5903.44,17120925,3467800064.0,-0.81,-4.15,-12.04,20180628
ETH,42391124074.21,422.36,100366093,1360790016.0,-0.96,-4.35,-19.26,20180628
XRP,17607401098.87,0.4485,39262097329,220566000.0,-0.76,-4.74,-15.58,20180628
LTC,4284330291.89,74.93,57177921,263414000.0,-1.98,-7.15,-21.92,20180628
ADA,3093617997.68,0.1193,25927070538,42250100.0,-1.13,-6.57,-24.04,20180628
USDT,2699541345.44,0.9972,2707140346,2331049984.0,-0.2,-0.14,-0.44,20180628
BNB,1610787653.09,14.12,114041290,67290496.0,0.17,0.39,-16.31,20180628
DOGE,271187886.8,0.002357,115059799826,3678050.0,0.06,-3.06,-20.81,20180628
BTC,106474703895.7,6218.3,17122800,3966230016.0,-0.43,5.08,1.24,20180629
ETH,43769409817.79,436.01,100386482,1564499968.0,0.25,2.77,-7.43,20180629
XRP,17788870998.66,0.4531,39262097329,309777984.0,-0.7,0.82,-7.81,20180629
LTC,4505043049.15,78.77,57193171,309339008.0,-1.29,4.35,-7.32,20180629
ADA,3259551160.42,0.1257,25927070538,65802200.0,0.34,4.87,-10.86,20180629
USDT,2716155102.11,1.0033,2707140346,2482319872.0,0.07,0.54,0.09,20180629
BNB,1654579488.48,14.51,114041290,52784600.0,-0.16,2.95,-7.67,20180629
DOGE,279304729.47,0.002427,115073757205,3832380.0,-1.36,2.62,-9.21,20180629
BTC,109665618200.0,6404.0,17124550,4543860224.0,0.84,2.67,4.85,20180630
ETH,45703301321.01,455.18,100407096,1475939968.0,1.59,3.75,-3.02,20180630
XRP,18305756396.17,0.4662,39262097329,345528992.0,1.51,1.66,-3.86,20180630
LTC,4655306558.4,81.37,57208771,276550016.0,1.67,1.89,-0.08,20180630
ADA,3569405567.42,0.1377,25927070538,104599000.0,1.57,8.35,1.41,20180630
USDT,2704952974.7,0.9992,2707140346,2540620032.0,-0.04,-0.35,-0.32,20180630
BNB,1671537401.0,14.66,114041290,59676900.0,0.56,0.49,-3.7,20180630
DOGE,287630563.75,0.002499,115087673738,6122900.0,-0.18,2.52,-4.82,20180630
BTC,109366021621.84,6385.82,17126387,4788259840.0,-0.15,0.1,3.43,20180701
ETH,45585861644.53,453.92,100427526,1511730048.0,-0.16,0.4,-0.31,20180701
XRP,18113883122.32,0.4614,39262097329,267224992.0,-0.18,-0.07,-3.72,20180701
LTC,4591722923.09,80.24,57222796,343401984.0,-0.16,-0.42,-0.58,20180701
ADA,3687036718.91,0.1422,25927070538,108733000.0,-1.02,3.8,7.74,20180701
USDT,2703948681.64,0.9988,2707140346,3653040128.0,-0.01,-0.07,-0.33,20180701
BNB,1642662194.55,14.4,114041290,38434400.0,-0.24,-0.97,0.29,20180701
DOGE,286509513.97,0.002489,115101500656,8435030.0,0.04,-0.34,-1.23,20180701
BTC,113288835532.31,6614.18,17128175,4396930048.0,0.15,3.59,5.66,20180702
ETH,47747742438.79,475.35,100448186,1625789952.0,0.11,4.74,3.37,20180702
XRP,19086169754.35,0.4861,39262097329,335919008.0,0.08,5.29,1.14,20180702
LTC,4879760279.77,85.26,57235821,302471008.0,-0.03,6.19,3.6,20180702
ADA,4103684957.08,0.1583,25927070538,161860000.0,-0.98,10.18,17.15,20180702
USDT,2704051466.78,0.9989,2707140346,2787729920.0,0.22,-0.05,-0.18,20180702
BNB,1661649971.03,14.57,114041290,55614000.0,0.63,1.14,-1.79,20180702
DOGE,311174080.01,0.002703,115115356487,5812800.0,-0.06,8.72,8.27,20180702
BTC,111849425427.25,6529.59,17129625,4672309760.0,0.39,-1.23,6.57,20180703
ETH,46637067974.53,464.2,100468698,1683939968.0,-0.11,-2.23,6.3,20180703
XRP,19050872467.0,0.4852,39262097329,410225984.0,0.17,-0.22,4.95,20180703
LTC,4871976921.42,85.1,57249146,343900992.0,-0.29,-0.13,9.42,20180703
ADA,3906042848.25,0.1507,25927070538,108280000.0,0.24,-4.65,17.92,20180703
USDT,2708006516.11,1.0003,2707140346,2786769920.0,0.09,0.19,0.19,20180703
BNB,1616136166.28,14.17,114041290,60657300.0,0.28,-2.35,0.68,20180703
DOGE,303713126.83,0.002638,115129194171,5643560.0,0.29,-2.63,6.74,20180703
BTC,113024519200.9,6597.55,17131287,4176689920.0,-0.85,1.27,7.43,20180704
ETH,46960391183.57,467.32,100489157,1549769984.0,-0.63,0.96,6.78,20180704
XRP,19240116522.37,0.49,39262097329,313828992.0,-0.08,1.38,4.67,20180704
LTC,4895597879.81,85.49,57262471,282222016.0,-1.22,0.45,6.48,20180704
ADA,3913950526.14,0.151,25927070538,86594896.0,-1.43,0.39,19.0,20180704
USDT,2704961042.6,0.9992,2707140346,2638139904.0,-0.23,-0.01,0.04,20180704
BNB,1597205270.36,14.01,114041290,37043700.0,0.01,-0.85,-0.05,20180704
DOGE,308602966.81,0.00268,115143061877,4781340.0,-0.37,1.74,10.98,20180704
BTC,113748387962.4,6639.14,17133000,4999240192.0,0.17,0.3,11.34,20180705
ETH,47682966743.47,474.41,100509616,1828610048.0,0.43,1.33,11.15,20180705
XRP,18909774571.75,0.4816,39262444717,279999008.0,0.3,-1.81,6.81,20180705
LTC,4797418696.81,83.76,57275771,306121984.0,0.31,-2.33,9.61,20180705
ADA,3861085219.15,0.1489,25927070538,73881296.0,0.91,-2.04,23.18,20180705
USDT,2723762170.2,1.0061,2707140346,3606159872.0,0.02,0.56,0.87,20180705
BNB,1579528900.84,13.85,114041290,41185300.0,0.39,-1.04,-2.57,20180705
DOGE,299294782.41,0.002599,115156782085,3792270.0,-0.52,-2.97,9.54,20180705
BTC,114350502582.0,6673.5,17135012,4313959936.0,0.26,0.61,7.95,20180706
ETH,47652423400.88,474.01,100529995,1627609984.0,0.33,0.22,9.19,20180706
XRP,18812640061.37,0.4792,39262444717,245003008.0,0.76,-0.15,5.78,20180706
LTC,4776762136.52,83.38,57290371,253160000.0,0.64,-0.31,6.2,20180706
ADA,3787530060.98,0.1461,25927070538,69138800.0,0.38,-1.02,15.78,20180706
USDT,2615378908.72,1.0032,2607140346,2460250112.0,-0.07,-0.27,0.08,20180706
BNB,1542933055.02,13.53,114041290,33466000.0,0.06,-2.3,-6.54,20180706
DOGE,299049589.64,0.002597,115170568402,4306990.0,-0.05,-0.32,7.02,20180706
BTC,117506609012.51,6856.93,17136912,3961080064.0,3.13,2.98,7.79,20180707
ETH,49436674393.13,491.66,100550531,1358360064.0,4.04,3.9,9.24,20180707
XRP,19335850977.46,0.4925,39262444717,214979008.0,3.48,3.21,7.34,20180707
LTC,4939833819.85,86.2,57305396,238936992.0,5.17,3.68,7.44,20180707
ADA,3898731298.32,0.1504,25927070538,47965500.0,5.91,3.38,10.88,20180707
USDT,2623330607.71,1.0062,2607140346,2134790016.0,0.13,0.31,0.67,20180707
BNB,1642742023.1,14.4,114041290,79974896.0,1.01,6.66,-0.65,20180707
DOGE,304620159.16,0.002645,115184418545,4205310.0,2.92,1.79,5.72,20180707
BTC,116097019270.53,6773.88,17138925,3386210048.0,-0.24,-0.07,6.46,20180708
ETH,49191159974.93,489.12,100570947,1344560000.0,-0.76,0.76,8.2,20180708
XRP,18757593310.79,0.4777,39262444717,226644000.0,-1.32,-1.54,4.02,20180708
LTC,4722977737.5,82.4,57320471,239655008.0,-1.45,-2.39,3.09,20180708
ADA,3769511002.13,0.1454,25927070538,48142400.0,-1.15,-1.15,2.27,20180708
USDT,2618220821.38,1.0043,2607140346,2142080000.0,0.04,-0.09,0.47,20180708
BNB,1595654377.72,13.99,114041290,60275400.0,-0.38,-1.96,-2.37,20180708
DOGE,300734148.96,0.002611,115198209418,5004800.0,-1.75,-0.11,5.27,20180708
BTC,115557889494.75,6741.75,17140637,3718129920.0,-0.63,-0.46,1.92,20180709
ETH,47950212714.96,476.68,100591615,1533799936.0,-1.16,-2.81,0.29,20180709
XRP,18620999112.25,0.4743,39262444717,206344992.0,-1.06,-1.14,-3.18,20180709
LTC,4636049863.22,80.86,57335983,263326000.0,-1.39,-2.54,-5.8,20180709
ADA,3629038066.41,0.14,25927070538,42768500.0,-1.74,-4.04,-12.3,20180709
USDT,2626694034.97,1.0075,2607140346,2358560000.0,0.11,0.31,0.99,20180709
BNB,1558317235.67,13.66,114041290,36874000.0,-0.73,-2.49,-5.78,20180709
DOGE,299949060.44,0.002603,115212141538,4233540.0,-0.75,-0.81,-3.84,20180709
BTC,108511012974.39,6329.95,17142475,4052430080.0,-0.99,-6.36,-3.25,20180710
ETH,43708242905.01,434.42,100611941,1789069952.0,-1.22,-9.16,-6.41,20180710
XRP,17473437476.21,0.445,39262444717,230418000.0,-0.7,-6.33,-8.52,20180710
LTC,4363305889.29,76.08,57348908,321614016.0,-0.89,-6.09,-11.06,20180710
ADA,3339199341.25,0.1288,25927070538,62318800.0,-1.54,-8.44,-14.99,20180710
USDT,2610268811.6,1.0012,2607140346,2974149888.0,0.05,-0.57,0.18,20180710
BNB,1455315125.39,12.76,114041290,36507100.0,-1.62,-6.64,-9.83,20180710
DOGE,277864992.7,0.002411,115225913375,6741490.0,0.0,-7.64,-8.57,20180710
BTC,109631866776.81,6394.71,17144150,3644859904.0,0.04,0.2,-3.98,20180711
ETH,44934271775.78,446.52,100632609,1422470016.0,0.93,1.78,-5.43,20180711
XRP,17677248760.61,0.4502,39262444717,183887008.0,0.12,0.37,-8.98,20180711
LTC,4514447160.3,78.7,57362808,284915008.0,0.85,2.31,-8.61,20180711
ADA,3408969106.22,0.1315,25927070538,50179700.0,0.43,0.59,-14.39,20180711
USDT,2610164695.16,1.0012,2607140346,2524790016.0,-0.07,0.03,-0.06,20180711
BNB,1448883162.52,12.7,114041290,38867700.0,0.2,-1.12,-9.22,20180711
DOGE,279463334.8,0.002425,115239765321,9788650.0,0.73,0.44,-9.71,20180711
BTC,106798865824.15,6228.81,17145950,3770170112.0,0.83,-2.52,-5.79,20180712
ETH,43288294693.47,430.07,100653130,1495440000.0,0.78,-3.18,-8.79,20180712
XRP,17093455293.9,0.4354,39262444717,182139008.0,0.98,-3.12,-8.63,20180712
LTC,4407032403.34,76.81,57376808,267396992.0,1.14,-1.84,-8.07,20180712
ADA,3297430591.04,0.1272,25927070538,37623900.0,2.41,-2.8,-13.04,20180712
USDT,2704622674.59,0.9991,2707140346,2404160000.0,-0.46,-0.29,-0.66,20180712
BNB,1376546745.76,12.07,114041290,26008100.0,0.55,-4.89,-12.54,20180712
DOGE,265785070.33,0.002306,115253556393,4220800.0,0.31,-3.74,-11.3,20180712
BTC,106968437443.68,6238.05,17147737,3805400064.0,0.06,0.42,-6.34,20180713
ETH,43694989579.97,434.03,100673435,1489670016.0,0.1,0.92,-8.45,20180713
XRP,17226044198.94,0.4387,39262444717,179403008.0,0.45,0.82,-7.77,20180713
LTC,4415840205.27,76.94,57391433,256038000.0,0.01,0.23,-7.48,20180713
ADA,3575006002.18,0.1379,25927070538,92778496.0,1.31,9.48,-4.79,20180713
USDT,2710984541.92,1.0014,2707140346,2279970048.0,-0.03,-0.03,-0.2,20180713
BNB,1389034367.95,12.18,114041290,29709900.0,0.78,0.47,-10.41,20180713
DOGE,268861130.27,0.002332,115267368111,6191910.0,1.64,1.06,-10.09,20180713
BTC,107631455845.13,6276.12,17149362,2923670016.0,0.0,0.43,-6.85,20180714
ETH,43911193413.43,436.09,100693885,1235820032.0,-0.01,0.36,-9.58,20180714
XRP,17246853471.38,0.4393,39262444717,134840992.0,-0.02,0.33,-8.79,20180714
LTC,4404338064.96,76.72,57406158,197776000.0,-0.19,-0.37,-8.2,20180714
ADA,3554393806.04,0.1371,25927070538,55022100.0,-0.53,-0.33,-5.64,20180714
USDT,2714314328.47,1.0027,2707140346,1620770048.0,0.04,0.09,-0.29,20180714
BNB,1379500511.05,12.1,114041290,21534200.0,-0.14,-0.51,-15.01,20180714
DOGE,272285056.15,0.002362,115281237439,4179950.0,0.51,3.03,-8.94,20180714
BTC,109074582282.55,6359.64,17151062,3285459968.0,-0.31,1.35,-6.18,20180715
ETH,45306414995.12,449.85,100714492,1350160000.0,-0.24,3.21,-7.97,20180715
XRP,17506888639.07,0.4459,39262444717,152903008.0,-0.26,1.58,-7.16,20180715
LTC,4532784780.95,78.94,57421358,230467008.0,0.01,2.83,-5.07,20180715
ADA,3688436827.6,0.1423,25927070538,50143900.0,-0.52,3.73,-2.2,20180715
USDT,2702678954.45,0.9984,2707140346,1919559936.0,-0.25,-0.45,-0.57,20180715
BNB,1401464783.31,12.29,114041290,26346900.0,-0.31,1.47,-12.28,20180715
DOGE,274421947.99,0.00238,115295107610,3869860.0,-0.91,1.02,-9.46,20180715
BTC,115638203962.5,6741.75,17152550,4725799936.0,0.93,5.77,-0.33,20180716
ETH,48419025463.82,480.66,100734881,1858680064.0,0.95,6.71,0.94,20180716
XRP,18979505058.26,0.4834,39262444717,269283008.0,1.98,8.25,2.22,20180716
LTC,4858950247.75,84.6,57437183,307904000.0,1.31,7.15,4.81,20180716
ADA,4047682541.22,0.1561,25927070538,90578096.0,0.25,9.3,11.29,20180716
USDT,2704809527.31,0.9991,2707140346,2864659968.0,-0.11,-0.11,-0.82,20180716
BNB,1509598760.34,13.24,114041290,47198600.0,0.27,7.42,-3.05,20180716
DOGE,329148242.6,0.002854,115308951119,15576200.0,4.33,19.17,9.82,20180716
BTC,125588964376.1,7321.04,17154525,5961950208.0,0.12,9.11,14.54,20180717
ETH,50478767712.01,501.0,100755618,2288100096.0,-0.02,4.77,14.14,20180717
XRP,19850580921.51,0.5056,39262444717,347700000.0,-0.7,5.91,12.61,20180717
LTC,5159554100.07,89.81,57452157,341836000.0,0.19,6.87,16.51,20180717
ADA,4430028889.18,0.1709,25927070538,133441000.0,1.06,10.06,30.77,20180717
USDT,2707492429.08,1.0001,2707140346,3620499968.0,-0.07,0.0,-0.12,20180717
BNB,1563825405.97,13.71,114041290,74443200.0,0.01,3.65,7.57,20180717
DOGE,372245948.27,0.003228,115322830582,15429200.0,-0.11,14.52,33.63,20180717
BTC,126458161719.85,7370.78,17156687,6103410176.0,0.14,0.57,15.64,20180718
ETH,48424155672.74,480.51,100775953,2371559936.0,-0.05,-4.32,8.76,20180718
XRP,19096821661.02,0.4864,39262444717,367988992.0,0.68,-4.31,8.62,20180718
LTC,4997438406.56,86.96,57466857,375428992.0,-0.3,-3.07,11.71,20180718
ADA,4650746133.69,0.1794,25927070538,323366016.0,-0.5,4.49,38.16,20180718
USDT,2713123182.69,1.0022,2707140346,4082030080.0,0.26,0.23,-0.05,20180718
BNB,1228749550.58,12.86,95512523,75446304.0,0.01,-6.48,2.07,20180718
DOGE,428178321.79,0.003712,115336717000,39281300.0,1.83,15.05,55.33,20180718
BTC,128122728365.06,7466.86,17158850,5111629824.0,-0.29,1.6,19.98,20180719
ETH,47335898757.18,469.62,100796390,2068739968.0,-0.3,-1.9,8.51,20180719
XRP,18731289375.79,0.4764,39315683476,293942016.0,-0.18,-1.24,8.86,20180719
LTC,4981759773.64,86.67,57481157,307785984.0,-0.76,-0.03,12.63,20180719
ADA,4689403273.69,0.1809,25927070538,216980992.0,-1.41,1.84,42.69,20180719
USDT,2701964299.25,0.9981,2707140346,3188349952.0,-0.14,-0.16,-0.33,20180719
BNB,1233830794.66,12.92,95512523,49364800.0,0.49,0.46,5.83,20180719
DOGE,443392196.86,0.003844,115350465873,25349600.0,0.59,5.75,67.01,20180719
BTC,126202568239.72,7354.13,17160775,4936869888.0,-0.16,-1.28,17.77,20180720
ETH,45437819324.96,450.7,100816555,1821350016.0,0.17,-3.54,3.66,20180720
XRP,17573874880.48,0.447,39315683476,295403008.0,0.05,-5.67,2.06,20180720
LTC,4757974271.58,82.75,57494982,287448000.0,-0.07,-4.33,7.64,20180720
ADA,4204722657.08,0.1622,25927070538,215667008.0,-0.57,-9.71,19.66,20180720
USDT,2659877115.85,1.001,2657140346,3072349952.0,0.06,0.18,-0.13,20180720
BNB,1152922111.7,12.07,95512523,40466000.0,1.09,-6.08,-0.82,20180720
DOGE,393392418.94,0.00341,115364349505,18017900.0,-1.18,-10.18,48.9,20180720
BTC,127333468844.64,7419.29,17162487,3726609920.0,-0.06,1.2,18.21,20180721
ETH,46630721206.77,462.44,100837134,1504310016.0,-0.59,3.04,6.01,20180721
XRP,17904755555.78,0.4554,39315683476,180339008.0,0.08,2.57,3.74,20180721
LTC,4857360982.53,84.46,57508132,246152992.0,-0.31,2.75,9.86,20180721
ADA,4242627972.72,0.1636,25927070538,125996000.0,-1.17,1.93,18.98,20180721
USDT,2657246775.58,1.0,2657140346,2164900096.0,0.1,-0.11,-0.2,20180721
BNB,1163848735.75,12.19,95512523,28726700.0,-1.59,1.75,0.69,20180721
DOGE,377290412.21,0.00327,115378271672,13342900.0,-3.68,-4.19,38.74,20180721
BTC,127336619272.37,7418.49,17164762,3695460096.0,0.05,-0.07,16.36,20180722
ETH,46360031061.73,459.66,100857878,1338589952.0,0.04,-0.92,2.07,20180722
XRP,17664968593.88,0.4493,39315683476,158906000.0,-0.3,-1.09,0.6,20180722
LTC,4783253117.26,83.16,57521307,245916992.0,-0.22,-1.53,5.58,20180722
ADA,4414783776.35,0.1703,25927070538,139332992.0,0.08,2.89,19.18,20180722
USDT,2656723178.22,0.9998,2657140346,2209939968.0,0.08,0.05,-0.06,20180722
BNB,1157602204.93,12.12,95512523,20692400.0,0.4,-1.15,-1.5,20180722
DOGE,399040875.48,0.003458,115392099875,11356800.0,-0.12,1.84,44.24,20180722
